Districts_N,Area,Category_N,Crop_N,Year,Max_Temp,Min_Temp,Rainfall, Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Productions
13,7270,1,1,1991,29.7333333333333,14.0666666666667,27.6666666666667,78.3333333333333,0.366666666666667,1.3,6.1,41886,540975.3,737535.8,24.75,90.41,19,3220
13,8400,1,1,1992,30.4666666666667,13.7666666666667,23.6666666666667,76.6666666666667,0.5,1.4,6.73333333333333,41886,540975.3,737535.8,24.75,90.41,19,3640
13,11190,1,1,1993,29.5666666666667,15.1666666666667,2.66666666666667,75,0.566666666666667,1.33333333333333,7.26666666666667,41886,540975.3,737535.8,24.75,90.41,19,5020
13,10890,1,1,1994,29.7,13.6333333333333,3.33333333333333,69.6666666666667,0.466666666666667,1.7,6.7,41886,540975.3,737535.8,24.75,90.41,19,5280
13,8490,1,1,1995,28.7,15,33.6666666666667,76,0.533333333333333,1.33333333333333,6.46666666666667,41886,540975.3,737535.8,24.75,90.41,19,3620
13,5160,1,1,1996,30.2333333333333,14.0333333333333,0.333333333333333,77.3333333333333,0.5,1.03333333333333,7.56666666666667,41886,540975.3,737535.8,24.75,90.41,19,2190
13,5110,1,1,1997,29.9,14.4666666666667,13.6666666666667,80,0.666666666666667,2.26666666666667,5.53333333333333,41886,540975.3,737535.8,24.75,90.41,19,1830
13,1520,1,1,1998,30.5,15.5666666666667,10.3333333333333,78,0.6,0.966666666666667,7.96666666666667,41886,540975.3,737535.8,24.75,90.41,19,540
13,1630,1,1,1999,30.2666666666667,14.7666666666667,6.33333333333333,81,0.6,0.766666666666667,7.9,41886,540975.3,737535.8,24.75,90.41,19,900
13,5370,1,1,2000,29.36666667,14.33333333,0,78.66666667,0.566666667,0.733333333,7.033333333,41886,540975.3,737535.8,24.75,90.41,19,2840
13,4960,1,1,2001,29.4333333333333,15.1666666666667,5.66666666666667,80.6666666666667,0.433333333333333,1.43333333333333,7.13333333333333,41886,540975.3,737535.8,24.75,90.41,19,2670
13,4670,1,1,2002,29.3333333333333,14.3666666666667,29,83.6666666666667,0.566666666666667,1.86666666666667,6.46666666666667,41886,540975.3,737535.8,24.75,90.41,19,2410
13,3780,1,1,2003,28.9,14.7,5.33333333333333,80.6666666666667,0.633333333333333,1.46666666666667,7.43333333333333,41886,540975.3,737535.8,24.75,90.41,19,2210
13,1287,1,1,2004,29.0333333333333,14.3666666666667,7,81.6666666666667,0.533333333333333,1.2,6.13333333333333,41886,540975.3,737535.8,24.75,90.41,19,691
13,919,1,1,2005,29.5333333333333,14.4333333333333,0,83.3333333333333,0.366666666666667,1.16666666666667,6.8,41886,540975.3,737535.8,24.75,90.41,19,507
13,0,1,1,2006,29.4333333333333,14.1666666666667,0,85,0.4,1.06666666666667,4.76666666666667,41886,540975.3,737535.8,24.75,90.41,19,0
13,0,1,1,2007,29.3666666666667,14.9333333333333,32.3333333333333,84,0.433333333333333,1.3,6.06666666666667,41886,540975.3,737535.8,24.75,90.41,19,0
13,0,1,1,2008,30.0666666666667,15.2666666666667,0,85.6666666666667,0.4,1.06666666666667,6.1,41886,540975.3,737535.8,24.75,90.41,19,0
13,0,1,1,2009,30.5666666666667,14.5,0,83,0.5,1.03333333333333,6.2,41886,540975.3,737535.8,24.75,90.41,19,0
13,0,1,1,2010,29.8333333333333,14.4333333333333,15.6666666666667,82,1.3,1.23333333333333,5.8,41886,540975.3,737535.8,24.75,90.41,19,0
13,0,1,1,2011,29.5666666666667,14.3,6,81.6666666666667,1.1,1.7,5.56666666666667,41886,540975.3,737535.8,24.75,90.41,19,0
13,0,1,1,2012,29.2666666666667,13.5,6.33333333333333,82.3333333333333,0.666666666666667,1.53333333333333,3.9,41886,540975.3,737535.8,24.75,90.41,19,0
13,0,1,1,2013,31.4,14.85,0,81.5,0.8,1,5.2,41886,540975.3,737535.8,24.75,90.41,19,0
13,387660,3,1,1969,28.1666666666667,14.7,7.66666666666667,71.6666666666667,0.2,1.5,6.76476190476191,41886,540975.3,737535.8,24.75,90.41,19,168210
13,352295,3,1,1970,28.0333333333333,14.4666666666667,3.33333333333333,72.3333333333333,0.233333333333333,0.8,6.76476190476191,41886,540975.3,737535.8,24.75,90.41,19,134460
