Districts_N,Area,Category_N,Crop_N,Year,Rainfall,Max_Temp,Min_Temp,Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Productions
2,42920,2,1,1998,90,31.6666666666667,15.8333333333333,83.3333333333333,0.333333333333333,1.06666666666667,8.13333333333333,536809.8,510151.9,22.7,90.36,4,23330
9,289880,3,1,1987,6,29.6333333333333,15.2666666666667,79.6666666666667,0.5,1.46666666666667,7.6,540975.3,737535.8,24.75,90.41,19,137695
17,13676,2,2,2009,288.5,36.2,26.5,85,2.75,6.1,4.45,402483.2,667640.8,24.12,89.04,14,9313
4,79110,3,2,1976,535,32.7,24.6,86.5,5,6.05,4.5,684570.9,471415,22.34,91.79,6,23250
10,112250,2,1,1985,3,30.8,13.8333333333333,73.6666666666667,0.6,1.5,6.96666666666667,420062.7,562498.8,23.17,89.22,7,107930
12,30350,3,2,1999,395.5,34.65,25.95,88,1.15,6.1,3.6,456632.4,521635.7,22.8,89.58,4,14850
21,579810,2,3,1996,222.333333333333,36.9,23.0666666666667,78.6666666666667,1.76666666666667,4.33333333333333,7,426172.9,844822.3,25.72,89.26,34,744103
22,429742,3,1,2005,0,31.4666666666667,16,73.3333333333333,1.1,1.4,8.06666666666667,694533.2,752277.9,24.88,91.93,35,295877
6,2745,4,2,1982,241,34,26.45,85,2.05,6.2,5.45,540098.6,629248.4,23.78,90.39,9,1460
16,1410,3,6,1996,20.75,30.425,16.375,79,0.425,1.375,7.875,610851.8,524433.6,22.83,91.08,6,936.9635
22,118079,3,2,2005,802,35.9,25.6,87,1.75,7.2,3.8,694533.2,752277.9,24.88,91.93,35,71437
13,9880,3,5,1974,3,29.025,14.3,73.75,0.35,1.35,6.88857142857143,540975.3,737535.8,24.75,90.41,19,15873.264
9,0,4,1,2011,6,29.5666666666667,14.3,81.6666666666667,1.1,1.7,5.56666666666667,540975.3,737535.8,24.75,90.41,19,0
13,0,1,1,2011,6,29.5666666666667,14.3,81.6666666666667,1.1,1.7,5.56666666666667,540975.3,737535.8,24.75,90.41,19,0
2,0,3,5,2007,40,30.1,15.375,81,0.475,1.525,6.525,536809.8,510151.9,22.7,90.36,4,0
13,37410,3,4,1993,356,34.25,21.65,77.75,1.95,4.425,5.8,540975.3,737535.8,24.75,90.41,19,124200
2,0,4,3,2004,176.333333333333,35.6666666666667,25.2333333333333,81.6666666666667,1.63333333333333,5.1,5.56666666666667,536809.8,510151.9,22.7,90.36,4,0
3,750,3,3,1997,150,37.3333333333333,23.3666666666667,79.6666666666667,1.46666666666667,4.66666666666667,7.5,435303.7,751187.5,24.88,89.36,20,584
15,60825,2,2,1989,491.5,34.3,26.15,86,1.15,6.05,4,540975.3,737535.8,24.75,90.41,19,44835
15,0,4,2,1999,375,35.2,26.1,88,1.8,6.35,3.55,540975.3,737535.8,24.75,90.41,19,0
15,280605,3,2,1986,494.5,34.9,26.2,82.5,2.55,6.65,3.85,540975.3,737535.8,24.75,90.41,19,102840
1,0,4,3,1989,193,34.6,25.1666666666667,77.6666666666667,5.66666666666667,4.43333333333333,7.26666666666667,684570.9,471415,22.34,91.79,6,0
4,0,5,3,1996,320.333333333333,35.2,24.9333333333333,80.6666666666667,4.36666666666667,4.36666666666667,6.7,684570.9,471415,22.34,91.79,6,0
5,48403,5,3,2009,192.666666666667,36.7,24.8,80.6666666666667,2.73333333333333,4.46666666666667,7.46666666666667,621445.2,596963.4,23.48,91.19,10,94142
17,2400,4,1,1977,22.6666666666667,31.5333333333333,13.4333333333333,71,0.633333333333333,1.5,7.02643678160919,402483.2,667640.8,24.12,89.04,14,2250
20,8420,3,2,1991,534,36.15,24.9,85,0.95,6,3.8,725903.3,508021.9,22.67,92.2,63,3940
20,2753,2,2,2013,237,34.75,24.95,85,1.7,5.5,4.35,725903.3,508021.9,22.67,92.2,63,2881
18,0,1,1,1981,1,30.2666666666667,16.7,66.3333333333333,1.5,1.6,6.84367816091954,534986.1,472575.7,22.36,90.34,3,0
3,8325,1,1,1974,2.33333333333333,30.8333333333333,14.2333333333333,72,0.766666666666667,0.9,9.7,435303.7,751187.5,24.88,89.36,20,3680
14,1730,2,5,2006,19.75,31.45,13.9,80,0.25,1.1,5.2,420062.7,562498.8,23.17,89.22,7,10032.12331
16,0,5,3,1974,332,33.6,24.2666666666667,85,1.73333333333333,4,6.0632183908046,610851.8,524433.6,22.83,91.08,6,0
17,188475,2,3,1987,110.666666666667,40.4,23.2333333333333,70.6666666666667,2.56666666666667,3.33333333333333,7.46666666666667,402483.2,667640.8,24.12,89.04,14,220995
18,20890,2,2,1984,519.5,32.85,25.8,88.5,3,5.9,3.37413793103449,534986.1,472575.7,22.36,90.34,3,15440
5,274920,2,1,2007,37.3333333333333,29.2333333333333,15.8666666666667,80.6666666666667,0.5,1.7,5.7,621445.2,596963.4,23.48,91.19,10,269337
3,0,1,1,2006,0.333333333333333,30.2,14.4,76.6666666666667,0.266666666666667,1.26666666666667,4.73333333333333,435303.7,751187.5,24.88,89.36,20,0
21,0,5,3,1970,242.666666666667,37.3333333333333,22,79.6666666666667,1.26666666666667,3.8,6.23333333333333,426172.9,844822.3,25.72,89.26,34,0
22,159600,2,3,1975,536.666666666667,34.0666666666667,22.6666666666667,81,1.13333333333333,5.6,7.13333333333333,694533.2,752277.9,24.88,91.93,35,162810
15,744000,3,1,1971,19.6666666666667,28.3666666666667,13.6666666666667,75.6666666666667,0.3,1.1,6.76476190476191,540975.3,737535.8,24.75,90.41,19,344990
15,310610,3,1,1998,10.3333333333333,30.5,15.5666666666667,78,0.6,0.966666666666667,7.96666666666667,540975.3,737535.8,24.75,90.41,19,124990
12,5690,3,6,1999,8.5,30.95,15.325,77.5,0.4,1.45,8.35,456632.4,521635.7,22.8,89.58,4,5908.3816
9,385870,2,3,2005,297.333333333333,34.8333333333333,23.5666666666667,82,1.83333333333333,4.53333333333333,6.23333333333333,540975.3,737535.8,24.75,90.41,19,539408
4,176860,2,1,1975,48.3333333333333,32.5,15.5,77,1.16666666666667,1.53333333333333,8.23333333333333,684570.9,471415,22.34,91.79,6,149040
6,59945,3,6,1983,8,30.45,15.4,68,0.4,1.7,7.875,540098.6,629248.4,23.78,90.39,9,54762.7608
18,58900,2,1,2006,1.33333333333333,31,15.7333333333333,82.3333333333333,0.366666666666667,1.23333333333333,6.43333333333333,534986.1,472575.7,22.36,90.34,3,52299
5,0,2,5,1970,24.5,30.275,15.35,78.25,0.425,0.75,7.4,621445.2,596963.4,23.48,91.19,10,0
9,9210,3,3,2003,272.333333333333,35.5,23.8,82.3333333333333,1.7,5.16666666666667,5.86666666666667,540975.3,737535.8,24.75,90.41,19,7170
17,4190,2,2,1978,180.5,35.15,25.8,83.5,2.5,5.95,4.63275862068966,402483.2,667640.8,24.12,89.04,14,4835
15,0,4,3,1999,244.666666666667,35.8,24.8666666666667,82.3333333333333,1.93333333333333,4.7,5.33333333333333,540975.3,737535.8,24.75,90.41,19,0
8,20125,3,3,1981,301,35.3666666666667,23.6666666666667,81.3333333333333,1.26666666666667,3.5,6.68735632183908,483877.3,610719.3,23.61,89.84,9,14671
1,415,2,5,1994,8,30.575,16.125,70.25,0.9,1.65,7.475,684570.9,471415,22.34,91.79,6,2298.31635
10,27170,3,1,2003,9.33333333333333,30.2333333333333,13.8666666666667,82.3333333333333,0.333333333333333,1.23333333333333,6.63333333333333,420062.7,562498.8,23.17,89.22,7,18370
16,0,4,2,1976,691.5,30.65,25.4,87,1.75,6.2,4.10862068965518,610851.8,524433.6,22.83,91.08,6,0
8,485165,1,1,1989,3,30.0333333333333,14.8,79,0.933333333333333,0.8,8.1,483877.3,610719.3,23.61,89.84,9,166210
16,0,4,2,2003,461.5,34.65,26.4,86,1.7,5.35,5.85,610851.8,524433.6,22.83,91.08,6,0
8,131720,3,4,2007,171.25,37.125,23.2,74.25,1.2,3.425,7.075,483877.3,610719.3,23.61,89.84,9,508439
16,52750,2,2,1974,601.5,32.25,24.85,89,1.85,6.25,4.10862068965518,610851.8,524433.6,22.83,91.08,6,34880
23,0,4,1,1998,20.6666666666667,30.6333333333333,15.2,83.3333333333333,0.6,1.16666666666667,7.86666666666667,491982.91,683166,24.15,89.55,10,0
16,0,5,3,1985,309.333333333333,35.0333333333333,24.3333333333333,81.3333333333333,1.73333333333333,4.23333333333333,6.06666666666667,610851.8,524433.6,22.83,91.08,6,0
14,1550,3,5,1974,4,31.2,13.425,68,1.025,1.375,8.275,420062.7,562498.8,23.17,89.22,7,6106.7974
9,2530,3,5,1986,25,30.4,15.5,74,0.95,1.75,7.7,540975.3,737535.8,24.75,90.41,19,8465.7408
9,3130,1,1,1991,27.6666666666667,29.7333333333333,14.0666666666667,78.3333333333333,0.366666666666667,1.3,6.1,540975.3,737535.8,24.75,90.41,19,1500
21,0,5,3,1999,337,36.4333333333333,24.3,84,1.4,5.06666666666667,5.53333333333333,426172.9,844822.3,25.72,89.26,34,0
11,2230,2,2,1998,588,34.3,25.15,88.5,1.05,6.7,3.15,725903.3,508021.9,22.67,92.2,63,1330
12,98240,1,1,1980,8,29.5666666666667,15.1333333333333,77.3333333333333,0.9,1.4,7.49,456632.4,521635.7,22.8,89.58,4,41070
13,230570,3,1,1998,10.3333333333333,30.5,15.5666666666667,78,0.6,0.966666666666667,7.96666666666667,540975.3,737535.8,24.75,90.41,19,91230
15,0,4,3,2005,297.333333333333,34.8333333333333,23.5666666666667,82,1.83333333333333,4.53333333333333,6.23333333333333,540975.3,737535.8,24.75,90.41,19,0
6,471110,1,1,1976,2.66666666666667,29.5,14.6333333333333,70.3333333333333,0.333333333333333,1.46666666666667,8.06666666666667,540098.6,629248.4,23.78,90.39,9,166350
5,25070,3,5,1975,34.5,29.975,15.025,64.25,0.95,1.425,7.4,621445.2,596963.4,23.48,91.19,10,102123.50995
11,0,2,2,1983,471.5,34.25,25.3,83.5,2.05,6.1,4.2462962962963,725903.3,508021.9,22.67,92.2,63,0
17,259450,3,2,1986,285,34.9,25.2,86,2.95,5.75,4.4,402483.2,667640.8,24.12,89.04,14,95385
22,9545,3,5,1979,18,28.875,15.1,72.75,1.05,1.75,8.075,694533.2,752277.9,24.88,91.93,35,57686.08692
17,73135,1,1,2007,17.3333333333333,29.8333333333333,13.5666666666667,79.6666666666667,0.6,1.3,6.43333333333333,402483.2,667640.8,24.12,89.04,14,25006
1,0,3,1,2012,1,30.0666666666667,15.9333333333333,77.3333333333333,6,1.26666666666667,7.87066666666667,684570.9,471415,22.34,91.79,6,0
17,0,4,1,2010,23.3333333333333,29.6,12.9666666666667,79,2.06666666666667,1.16666666666667,5.86666666666667,402483.2,667640.8,24.12,89.04,14,0
21,376710,3,1,2003,11,28.0333333333333,14.4,82,0.8,1.63333333333333,7,426172.9,844822.3,25.72,89.26,34,203750
6,63190,3,4,2000,256,35.225,23.45,73.5,1.05,4.575,6.675,540098.6,629248.4,23.78,90.39,9,217370
9,0,5,3,1992,148.666666666667,36.4333333333333,23.9,78,2.03333333333333,4,6.66666666666667,540975.3,737535.8,24.75,90.41,19,0
9,211860,2,1,2003,5.33333333333333,28.9,14.7,80.6666666666667,0.633333333333333,1.46666666666667,7.43333333333333,540975.3,737535.8,24.75,90.41,19,202530
18,175953,3,2,2005,657,34.7,26.05,90.5,0.75,6.35,3.7,534986.1,472575.7,22.36,90.34,3,113768
10,166630,3,4,1982,166.5,37.65,22.925,73,3.4,4.1,6.175,420062.7,562498.8,23.17,89.22,7,565155
15,50170,3,4,1989,149.5,36.125,22.975,77.5,1.975,3.9,6.4,540975.3,737535.8,24.75,90.41,19,183120
10,2130,3,3,1989,133.666666666667,39.4333333333333,25.2666666666667,75.6666666666667,3.9,4.43333333333333,6.8,420062.7,562498.8,23.17,89.22,7,1377
14,0,5,3,1995,96.3333333333333,40.0333333333333,25.9666666666667,74.6666666666667,3.63333333333333,4.6,6,420062.7,562498.8,23.17,89.22,7,0
5,151145,2,2,2009,500,35.25,25.7,86,2.25,6.2,5.05,621445.2,596963.4,23.48,91.19,10,147764
5,91155,2,2,1976,476,32.75,25.15,85,3.8,6.35,4.9,621445.2,596963.4,23.48,91.19,10,67775
19,19085,3,5,1999,13,29.625,13.975,78.5,0.625,1.375,7.6,353944.9,693386.6,24.35,88.56,20,58698.0075
22,7313,3,5,1988,60.25,29.8,15,74.25,0.925,1.525,7.95,694533.2,752277.9,24.88,91.93,35,26381.58523
23,4470,3,5,1988,57.25,29.325,14.525,78,1,0.9,8,491982.91,683166,24.15,89.55,10,11105.77325
10,0,4,2,2005,330.5,35.95,25.95,86.5,1.5,5.9,3.5,420062.7,562498.8,23.17,89.22,7,0
6,187670,1,1,1997,24,30,15.3666666666667,77.3333333333333,0.233333333333333,2.7,5.26666666666667,540098.6,629248.4,23.78,90.39,9,64100
9,290030,3,1,1990,3.33333333333333,30.2333333333333,13.5,76,0.4,1.56666666666667,6.96666666666667,540975.3,737535.8,24.75,90.41,19,153510
11,0,1,1,2013,0,31.2,16.15,82,1.1,1.45,7.7,725903.3,508021.9,22.67,92.2,63,0
3,3162,3,6,2009,0,30.9,14.325,75,2.125,1.275,6,435303.7,751187.5,24.88,89.36,20,2817.50436
17,4980,3,3,1991,191.666666666667,38.3,24.2666666666667,76.6666666666667,2,4.56666666666667,6.1,402483.2,667640.8,24.12,89.04,14,3075
18,41080,2,2,2000,398.5,35.2,26.15,89.5,1.65,6.3,3.9,534986.1,472575.7,22.36,90.34,3,37830
19,473400,3,2,1969,504,32.75,26.05,85.5,1.35,5.95,4.74571428571429,353944.9,693386.6,24.35,88.56,20,172860
17,3100,4,3,1996,166,39.5666666666667,24.4666666666667,74.3333333333333,1.7,4.4,7.53333333333333,402483.2,667640.8,24.12,89.04,14,3516
23,343080,2,3,2001,251,34.6,24.0333333333333,80,1.26666666666667,5,6.56666666666667,491982.91,683166,24.15,89.55,10,484080
4,0,1,1,1973,102,29.2,16.4333333333333,79.3333333333333,1.5,2.1,8.23333333333333,684570.9,471415,22.34,91.79,6,0
8,2240,3,5,1974,4.75,29.2,12.95,76.25,0.875,1.2,7.47672413793103,483877.3,610719.3,23.61,89.84,9,8179.1402
6,14030,3,3,2004,268.333333333333,36.1666666666667,25.0666666666667,74.3333333333333,1.76666666666667,5.33333333333333,5.73333333333333,540098.6,629248.4,23.78,90.39,9,9745
6,38555,4,3,1987,218.333333333333,39.4333333333333,25.2,77,1.73333333333333,4.2,7.5,540098.6,629248.4,23.78,90.39,9,31692
1,6240,4,1,1990,43,30.2333333333333,17.2,77,0.9,2.06666666666667,6.76666666666667,684570.9,471415,22.34,91.79,6,5140
3,17980,2,2,2001,150,35.9,26.85,83,1,5.45,5.85,435303.7,751187.5,24.88,89.36,20,12100
13,27170,4,3,1994,176.666666666667,35.8333333333333,24.1,79.6666666666667,2.3,4.83333333333333,5.63333333333333,540975.3,737535.8,24.75,90.41,19,22939
9,14070,3,3,1999,244.666666666667,35.8,24.8666666666667,82.3333333333333,1.93333333333333,4.7,5.33333333333333,540975.3,737535.8,24.75,90.41,19,9990
14,0,5,3,1987,181.333333333333,39.1,25.1333333333333,75,3.56666666666667,4.33333333333333,7.03333333333333,420062.7,562498.8,23.17,89.22,7,0
10,390600,1,1,1975,2.33333333333333,31.3333333333333,12.8333333333333,71.3333333333333,1.06666666666667,1.2,7.66666666666667,420062.7,562498.8,23.17,89.22,7,162140
2,0,4,1,1997,57,30.7333333333333,14.7,87.3333333333333,0.433333333333333,2.16666666666667,5.66666666666667,536809.8,510151.9,22.7,90.36,4,0
22,562785,2,3,2005,515,35.2666666666667,22.8,79.6666666666667,1.9,5.4,5.4,694533.2,752277.9,24.88,91.93,35,688632
21,1102810,3,1,1983,18.6666666666667,27.5,12.8333333333333,83.3333333333333,0.533333333333333,1.06666666666667,7.73333333333333,426172.9,844822.3,25.72,89.26,34,638105
21,270130,2,1,1973,5.33333333333333,27.3,13.3666666666667,84.6666666666667,0.766666666666667,1.43333333333333,7.02666666666667,426172.9,844822.3,25.72,89.26,34,287495
14,1115,3,5,1975,8.75,32.6,13.25,70.25,1.175,1.15,7.95,420062.7,562498.8,23.17,89.22,7,4155.7087
10,0,4,2,1989,171.5,34.15,26.05,85.5,2.9,6.25,5.3,420062.7,562498.8,23.17,89.22,7,0
12,5900,3,5,1970,3.25,30.75,15.675,74.25,0.4,0.975,7.62583333333333,456632.4,521635.7,22.8,89.58,4,30495.40615
19,14149,3,4,2009,71.25,39.5,23.225,69.5,2.225,3.1,7.675,353944.9,693386.6,24.35,88.56,20,77254
5,168730,2,2,2001,248,35,25.85,85,1.4,5.85,5.85,621445.2,596963.4,23.48,91.19,10,141900
5,0,4,2,2001,248,35,25.85,85,1.4,5.85,5.85,621445.2,596963.4,23.48,91.19,10,0
5,242205,2,3,1986,212.666666666667,35.5333333333333,23.4,81.3333333333333,1.8,3.93333333333333,6.33333333333333,621445.2,596963.4,23.48,91.19,10,300936
10,188,3,3,2013,181.333333333333,37.7333333333333,25.1333333333333,76,7.96666666666667,4,6.03333333333333,420062.7,562498.8,23.17,89.22,7,179
13,3345,3,5,2007,25.5,29.375,14.65,81.75,0.5,1.35,6.1,540975.3,737535.8,24.75,90.41,19,11288.75671
16,280,3,5,1990,50,30.25,17.475,79.75,0.3,1.55,7.275,610851.8,524433.6,22.83,91.08,6,909.40575
16,0,1,1,2008,0.333333333333333,30.6666666666667,17.5,83,0.3,0.766666666666667,6.5,610851.8,524433.6,22.83,91.08,6,0
22,17565,3,6,1984,24.5,30.15,14.275,72,0.925,1.675,8.45,694533.2,752277.9,24.88,91.93,35,17416.498
11,0,3,6,1988,12.75,29.775,16.5,75.75,0.7,1.625,7.05,725903.3,508021.9,22.67,92.2,63,0
9,16680,2,2,2000,203.5,35.3,26.35,87.5,1.85,6.25,3.9,540975.3,737535.8,24.75,90.41,19,10760
5,528100,1,1,1981,9,30.5666666666667,13.9,72.3333333333333,0.433333333333333,0.8,8.1,621445.2,596963.4,23.48,91.19,10,221365
11,0,1,1,2003,0.666666666666667,31.6333333333333,15.4,79.6666666666667,0.366666666666667,1.03333333333333,8.7,725903.3,508021.9,22.67,92.2,63,0
15,1850,2,5,1991,29.75,29.1,14.05,77,0.55,1.4,6.15,540975.3,737535.8,24.75,90.41,19,7782.3086
10,65980,2,2,1999,303.5,35.1,25.85,88.5,2.45,6.5,4.75,420062.7,562498.8,23.17,89.22,7,53490
12,22270,3,3,1987,187.333333333333,38.7666666666667,24.8,79.6666666666667,1.7,4.3,7.96666666666667,456632.4,521635.7,22.8,89.58,4,13312
4,42780,2,2,1995,615.5,34.7,25.8,83.5,5.15,6.1,4.8,684570.9,471415,22.34,91.79,6,36390
14,111020,2,3,1997,137,38.0333333333333,23.6333333333333,78.3333333333333,2.5,4.63333333333333,7.03333333333333,420062.7,562498.8,23.17,89.22,7,142793
17,0,4,3,1978,235.333333333333,38.5333333333333,23.5333333333333,73,3.1,4.7,6.87126436781609,402483.2,667640.8,24.12,89.04,14,0
23,2478,3,3,2010,268,37.1666666666667,25.0666666666667,78.6666666666667,3,4.93333333333333,6.06666666666667,491982.91,683166,24.15,89.55,10,2682
8,554835,3,2,1985,215.5,33.75,25.85,86.5,2.15,4.95,4.5,483877.3,610719.3,23.61,89.84,9,144830
5,38965,3,6,1974,27,29.8,15.75,66,1.15,1.2,7.4,621445.2,596963.4,23.48,91.19,10,21026.56325
8,75310,3,6,1969,18.25,28.9,14.625,75,0.5,1.35,7.47672413793103,483877.3,610719.3,23.61,89.84,9,24157.12365
3,29800,2,2,1996,254.5,36.1,26.4,85.5,1.4,6.4,4.45,435303.7,751187.5,24.88,89.36,20,20700
3,0,4,2,1996,254.5,36.1,26.4,85.5,1.4,6.4,4.45,435303.7,751187.5,24.88,89.36,20,0
23,359858,2,3,2004,232,37.1,24.3333333333333,78.6666666666667,1,4.7,6.03333333333333,491982.91,683166,24.15,89.55,10,530451
19,6050,3,3,1994,127.666666666667,40.1666666666667,24.6333333333333,73.6666666666667,1.56666666666667,4.2,7,353944.9,693386.6,24.35,88.56,20,3869
7,27250,2,2,1978,379,32.4,25.95,84.5,0.85,5.75,4.748,365790.2,834718,25.63,88.66,37,25380
5,130420,2,2,2003,210.5,35.4,25.7,83.5,1.9,5.6,6.9,621445.2,596963.4,23.48,91.19,10,109680
10,116025,3,6,1981,38,31.425,14.075,71.5,0.9,1.775,7.15,420062.7,562498.8,23.17,89.22,7,81559.9169
1,4470,2,2,1995,615.5,34.7,25.8,83.5,5.15,6.1,4.8,684570.9,471415,22.34,91.79,6,4470
4,76310,2,2,1992,346,33.75,25,84,3.5,6.15,4.4,684570.9,471415,22.34,91.79,6,76340
10,1665,3,3,2005,77,40.7,25.2666666666667,76.6666666666667,2.46666666666667,3.73333333333333,6.93333333333333,420062.7,562498.8,23.17,89.22,7,1105
17,0,4,2,1971,266,33.2,25.4,85,3.75,6.25,4.63275862068966,402483.2,667640.8,24.12,89.04,14,0
12,676,3,3,2012,123.333333333333,38.9333333333333,26.1333333333333,80.6666666666667,2.26666666666667,3.83333333333333,6.43333333333333,456632.4,521635.7,22.8,89.58,4,541
12,0,4,3,1999,123.666666666667,37.4333333333333,25.7666666666667,80.3333333333333,1.9,4.16666666666667,6.9,456632.4,521635.7,22.8,89.58,4,0
10,160,3,3,2007,170,39.2,25.2666666666667,77.6666666666667,2.33333333333333,3.83333333333333,6.6,420062.7,562498.8,23.17,89.22,7,141
4,122625,2,3,1971,319.666666666667,33.5333333333333,24.1666666666667,80.6666666666667,3.33333333333333,5.16666666666667,6.56666666666667,684570.9,471415,22.34,91.79,6,157705
17,0,2,5,1969,14,28.9,12.925,73,0.875,1.55,7.24913793103448,402483.2,667640.8,24.12,89.04,14,0
11,1380,3,2,2008,416.5,34.15,24.65,86,0.7,6.05,4.45,725903.3,508021.9,22.67,92.2,63,849
20,9510,3,2,1993,853.5,34.4,23,85,1.1,6.05,4.1,725903.3,508021.9,22.67,92.2,63,4910
16,95285,1,1,1977,16.3333333333333,28.0333333333333,15.9333333333333,77.3333333333333,0.333333333333333,1,7.30689655172414,610851.8,524433.6,22.83,91.08,6,38575
14,0,4,2,2005,330.5,35.95,25.95,86.5,1.5,5.9,3.5,420062.7,562498.8,23.17,89.22,7,0
1,0,3,3,1987,287.333333333333,34.3333333333333,24.9,79.3333333333333,4.86666666666667,3.93333333333333,6.56666666666667,684570.9,471415,22.34,91.79,6,0
2,33797,2,2,2012,272.5,34.4,26.35,88,2,6.7,4.4,536809.8,510151.9,22.7,90.36,4,34696
4,53010,3,2,1999,681,34.4,25.35,87,3.9,6.75,3.6,684570.9,471415,22.34,91.79,6,29070
11,3790,2,3,1992,198.666666666667,37.6333333333333,23.9666666666667,75.6666666666667,1.16666666666667,3.46666666666667,6.96666666666667,725903.3,508021.9,22.67,92.2,63,3758
13,49940,2,2,2010,413,35.4,26.8,85.5,1.85,6.3,4.35,540975.3,737535.8,24.75,90.41,19,44610
11,950,3,2,1993,853.5,34.4,23,85,1.1,6.05,4.1,725903.3,508021.9,22.67,92.2,63,550
9,0,4,3,2000,416.333333333333,36.4,23.8666666666667,85,2,5.3,5.03333333333333,540975.3,737535.8,24.75,90.41,19,0
2,105,3,6,1978,4.5,31.5,14.4,74.75,0.375,0.925,8.575,536809.8,510151.9,22.7,90.36,4,59.52474
15,15525,3,6,1982,5,29.725,14.45,60.25,0.9,1.375,7.15,540975.3,737535.8,24.75,90.41,19,19119.56695
18,0,2,5,1998,24.25,31.8,17.125,79.25,0.475,1.075,7.25,534986.1,472575.7,22.36,90.34,3,0
21,16920,2,5,1987,9.75,28.725,14.175,83.75,0.875,1.3,7.625,426172.9,844822.3,25.72,89.26,34,60742.79255
7,102711,5,3,2009,289,37.8333333333333,23.8333333333333,76.6666666666667,1.9,4,7.1,365790.2,834718,25.63,88.66,37,198292
18,0,4,3,1993,311.333333333333,34.5333333333333,24.8,83.3333333333333,1.7,4.86666666666667,4.8,534986.1,472575.7,22.36,90.34,3,0
13,279290,3,1,1989,2,29.6,13.6,77.6666666666667,0.4,0.933333333333333,7.23333333333333,540975.3,737535.8,24.75,90.41,19,156310
6,13895,3,4,2008,229.5,35.9,24.425,71.25,1.3,4.4,6.575,540098.6,629248.4,23.78,90.39,9,55858
7,27420,2,2,1979,379,32.4,25.95,84.5,0.85,5.75,4.748,365790.2,834718,25.63,88.66,37,23370
3,1120,1,1,1970,7.66666666666667,29.4,14,75.3333333333333,0.4,1.16666666666667,9.56666666666667,435303.7,751187.5,24.88,89.36,20,530
18,2185,2,5,2006,29.25,31,16.05,81.75,0.475,1.45,6.55,534986.1,472575.7,22.36,90.34,3,18188.115
21,15375,2,5,1995,31.25,27.925,14.15,79.75,0.825,1.4,7.25,426172.9,844822.3,25.72,89.26,34,58113.7832
1,5680,2,3,1989,193,34.6,25.1666666666667,77.6666666666667,5.66666666666667,4.43333333333333,7.26666666666667,684570.9,471415,22.34,91.79,6,6183
17,18270,3,3,1972,105.333333333333,41,24.8666666666667,64.3333333333333,4.06666666666667,3.33333333333333,6.87126436781609,402483.2,667640.8,24.12,89.04,14,10965
17,5220,4,3,1985,134,38.8666666666667,24.4333333333333,68.3333333333333,2.3,4.06666666666667,7,402483.2,667640.8,24.12,89.04,14,6228
15,530,4,2,1991,279.5,36.35,24.4,86,1.5,6.05,4.3,540975.3,737535.8,24.75,90.41,19,320
12,8833,3,4,2011,142.5,37.225,24,76.5,2.5,3.75,6.75,456632.4,521635.7,22.8,89.58,4,30916
8,16150,3,1,1994,3,30.0666666666667,14.5333333333333,71,0.666666666666667,1.56666666666667,6.9,483877.3,610719.3,23.61,89.84,9,5610
18,415,2,5,1986,14.25,31.1,16.65,76.5,0.85,1.325,6.675,534986.1,472575.7,22.36,90.34,3,1184.98325
21,0,2,5,1975,0,27.525,13.15,91.25,0.425,1.125,7.17357142857143,426172.9,844822.3,25.72,89.26,34,0
11,3990,2,3,1997,250,35.7,22.5666666666667,80,1.06666666666667,4.53333333333333,6.4,725903.3,508021.9,22.67,92.2,63,4188
16,474350,3,1,1973,92.6666666666667,28.2,15.8666666666667,82,0.333333333333333,1.23333333333333,7.30689655172414,610851.8,524433.6,22.83,91.08,6,153450
14,0,3,5,2003,7,31.525,13.825,80.25,0.4,1.075,6.9,420062.7,562498.8,23.17,89.22,7,0
18,21830,2,3,1997,242.666666666667,34.9,23.6666666666667,85,1.5,4.83333333333333,5.16666666666667,534986.1,472575.7,22.36,90.34,3,30093
18,0,4,3,1990,235,34.5666666666667,25.2,85.6666666666667,1.7,4.96666666666667,4.8,534986.1,472575.7,22.36,90.34,3,0
10,119230,2,3,1984,381.666666666667,38.6,24.7,78,5.06666666666667,4.83333333333333,5.73333333333333,420062.7,562498.8,23.17,89.22,7,164602
23,6075,3,5,1999,22.25,29.425,14.4,80,0.5,1.525,7.6,491982.91,683166,24.15,89.55,10,18011.7454
2,1278,2,5,2010,22.75,30.95,15.05,79.75,0.85,1.05,6.925,536809.8,510151.9,22.7,90.36,4,11375.8392
11,1215,4,2,1988,623,33.65,25.05,86,0.9,6,3.1,725903.3,508021.9,22.67,92.2,63,915
2,69525,2,3,1983,234,35.8,24.3333333333333,81,1.6,4.33333333333333,7.53333333333333,536809.8,510151.9,22.7,90.36,4,77172
7,0,4,2,1972,317.5,36.8,26.1,84.5,0.8,5,4.748,365790.2,834718,25.63,88.66,37,0
8,570605,3,2,1974,433,33.1,23.85,91.5,1.7,6.75,4.69482758620689,483877.3,610719.3,23.61,89.84,9,174185
21,0,4,3,2006,308,35.7333333333333,23.4333333333333,81.3333333333333,1.5,4.96666666666667,5.4,426172.9,844822.3,25.72,89.26,34,0
