Districts_N,Area,Category_N,Crop_N,Year,Rainfall,Max_Temp,Min_Temp,Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Productions
18,1232,2,5,1988,18.75,30.175,16.625,80,0.975,1.325,7.35,534986.1,472575.7,22.36,90.34,3,3300.31614
18,643730,3,1,1979,30.6666666666667,29.0333333333333,17.5333333333333,77.3333333333333,0.6,0.933333333333333,6.84367816091954,534986.1,472575.7,22.36,90.34,3,289700
2,73680,2,1,2003,9.33333333333333,30.3333333333333,15.2666666666667,83,0.066666666666667,1.46666666666667,6.96666666666667,536809.8,510151.9,22.7,90.36,4,83140
17,337440,3,2,1981,344.5,34,26.15,84.5,2.5,6.3,4.63275862068966,402483.2,667640.8,24.12,89.04,14,135125
8,504785,1,1,1984,12.3333333333333,30.1,15,75.3333333333333,0.5,0.666666666666667,7.55172413793103,483877.3,610719.3,23.61,89.84,9,169550
2,0,4,3,1999,164,36.3333333333333,25.1,84.3333333333333,2,5.23333333333333,4.83333333333333,536809.8,510151.9,22.7,90.36,4,0
3,5365,4,1,1981,27.3333333333333,30.8,14,74,0.633333333333333,0.933333333333333,8.46666666666667,435303.7,751187.5,24.88,89.36,20,3545
20,12265,2,3,2010,396.333333333333,36.9333333333333,24.7333333333333,80,2.63333333333333,4.33333333333333,6.13333333333333,725903.3,508021.9,22.67,92.2,63,15657
12,103265,1,1,1988,46.6666666666667,29.5,14.9,78,0.766666666666667,1.2,8.2,456632.4,521635.7,22.8,89.58,4,35265
12,770150,3,1,1970,4.33333333333333,30.5666666666667,15.6333333333333,75.3333333333333,0.266666666666667,0.833333333333333,7.49,456632.4,521635.7,22.8,89.58,4,190415
16,0,3,5,2007,37,30.375,16.925,80.25,0.475,1.525,6.4,610851.8,524433.6,22.83,91.08,6,0
5,97980,3,2,2002,494.5,34.4,25.55,87.5,1.8,6.6,3.8,621445.2,596963.4,23.48,91.19,10,55150
21,0,4,3,2005,264,35.4,22.9666666666667,81.6666666666667,1.63333333333333,5.06666666666667,5.83333333333333,426172.9,844822.3,25.72,89.26,34,0
7,12070,1,1,1977,2.66666666666667,27.6666666666667,12.8333333333333,74.6666666666667,0.433333333333333,0.866666666666667,6.55466666666667,365790.2,834718,25.63,88.66,37,5540
11,220,3,3,1991,426,35.1333333333333,23.4,79.3333333333333,1.4,4.86666666666667,5.16666666666667,725903.3,508021.9,22.67,92.2,63,132
8,9530,3,1,1969,19.3333333333333,28.1666666666667,14.6,77.3333333333333,0.5,1.36666666666667,7.31379310344827,483877.3,610719.3,23.61,89.84,9,3610
3,110,3,2,2000,239.5,35.05,26.6,84.5,1.15,5.8,4.5,435303.7,751187.5,24.88,89.36,20,30
5,110940,3,4,1973,264.75,35.3,22.625,75,2.675,4.125,6.80454545454546,621445.2,596963.4,23.48,91.19,10,389070
11,0,4,2,1980,722.5,34.65,25.5,82.5,2.85,5.55,4.2462962962963,725903.3,508021.9,22.67,92.2,63,0
2,6955,3,3,2009,128,36.6666666666667,25.9,79.6666666666667,3.8,4.26666666666667,7.36666666666667,536809.8,510151.9,22.7,90.36,4,4925
7,31130,3,6,1979,2.25,27.775,13.375,72.25,0.475,0.875,6.724,365790.2,834718,25.63,88.66,37,27664.67407
12,0,2,5,1978,9.5,30.925,16.85,68.25,0.4,0.875,7.62583333333333,456632.4,521635.7,22.8,89.58,4,0
6,0,5,3,1977,296,33.9333333333333,23.5,84,2.13333333333333,5.73333333333333,6.7,540098.6,629248.4,23.78,90.39,9,0
19,101970,3,1,2003,5.33333333333333,28.8666666666667,13.9333333333333,80.6666666666667,0.733333333333333,1.3,7.5,353944.9,693386.6,24.35,88.56,20,57700
13,103830,3,4,1977,462.5,32.8,22.3,77.5,3.725,4.85,6.08428571428571,540975.3,737535.8,24.75,90.41,19,205583
7,13820,1,1,1975,2.66666666666667,27.6666666666667,12.8333333333333,74.6666666666667,0.433333333333333,0.866666666666667,6.55466666666667,365790.2,834718,25.63,88.66,37,6090
9,8599,2,5,2004,12,29.4,14.875,79.75,0.675,1.275,6.375,540975.3,737535.8,24.75,90.41,19,52877.8107
19,25280,2,5,2001,2.75,30.35,14.425,79,0.75,1.475,7.725,353944.9,693386.6,24.35,88.56,20,93238.89135
13,120870,3,3,1994,176.666666666667,35.8333333333333,24.1,79.6666666666667,2.3,4.83333333333333,5.63333333333333,540975.3,737535.8,24.75,90.41,19,83852
7,42592,3,1,2011,2.66666666666667,29,13.1,79.3333333333333,1.53333333333333,1.43333333333333,5.83333333333333,365790.2,834718,25.63,88.66,37,28601
6,78730,2,5,1999,17.5,29.75,16.025,70,0.375,1.625,6.9,540098.6,629248.4,23.78,90.39,9,756327.9603
10,6120,2,5,1992,9,31.725,13.725,76.25,0.525,1.175,6.85,420062.7,562498.8,23.17,89.22,7,39352.467
11,54763,2,1,2005,6.33333333333333,30.5666666666667,15,82.3333333333333,0.2,1.23333333333333,6.53333333333333,725903.3,508021.9,22.67,92.2,63,59342
18,34730,2,2,1995,680.5,34,26,88,1.25,6.5,3.45,534986.1,472575.7,22.36,90.34,3,24580
1,4877,2,2,2012,543.5,33.5,25.6,87.5,7.25,6.3,5.4,684570.9,471415,22.34,91.79,6,5504
16,26780,2,1,1983,4,30.3333333333333,16,79,0.633333333333333,1.33333333333333,7.30689655172414,610851.8,524433.6,22.83,91.08,6,22925
8,12300,2,1,1987,12.3333333333333,29.5333333333333,15.8666666666667,79.3333333333333,0.966666666666667,1.5,8.13333333333333,483877.3,610719.3,23.61,89.84,9,9690
19,608050,3,1,1985,6,29.6,13.2666666666667,76,1.33333333333333,1,8.13333333333333,353944.9,693386.6,24.35,88.56,20,314715
10,174055,3,1,1988,33.3333333333333,29.5,13.9666666666667,76.3333333333333,0.766666666666667,1.5,7.56666666666667,420062.7,562498.8,23.17,89.22,7,97640
9,56380,3,6,1984,11.5,29.175,14.35,69.5,0.85,1.6,7.225,540975.3,737535.8,24.75,90.41,19,51246.3919
5,0,5,3,1987,195.333333333333,35.5333333333333,24.5,82.3333333333333,2.23333333333333,4.06666666666667,7.2,621445.2,596963.4,23.48,91.19,10,0
